Unnamed: 0,years,company,title,contents,link
4,2020.05.01.,연합뉴스,"코로나19 신규확진 9명, 총 1만774명…해외유입 8명·국내 1명(종합)","격리해제 9천72명·완치율 84.2%…사망 1명 늘어 248명·치명률 2.3%[연합뉴스TV 제공]    (서울=연합뉴스) 김잔디 기자 = 1일 국내 신종 코로나바이러스 감염증(코로나19) 확진자가 9명 늘어났다. 해외유입 사례가 8명, 국내 지역사회 발생이 1명이다.    중앙방역대책본부는 이날 0시 기준 코로나19 확진자가 전날 0시보다 9명 늘어나 총 1만774명으로 집계됐다고 밝혔다.     신규 확진자 9명 중 8명은 해외 유입 사례다. 이 중 4명은 공항 검역 과정에서 확인됐다. 나머지는 서울에서 1명, 인천에서 1명, 경기에서 2명 등 지역사회로 돌아간 상태에서 '양성' 판정을 받았다.     국내에서 발생한 사례는 경북에서 보고된 1명이다.     부산, 대구, 광주, 대전, 울산, 세종, 강원, 충북, 충남, 전북, 전남, 경남, 제주 등에서는 신규 확진자가 나오지 않았다.     이날 0시 기준 코로나19 확진자 중 사망자는 누적 248명이다. 전날 경기도 명지병원에서 입원 치료 중이던 확진자 1명이 사망했다.     국내 평균 치명률은 2.3%다. 단 고령일수록 치명률이 가파르게 높아지는 경향을 보인다. 연령대별 치명률은 60대 2.60%, 70대 10.58%, 80세 이상 24.28% 등이다.     완치해 격리 해제된 확진자는 13명이 늘어 총 9천72명이 됐다. 국내 완치율은 84.2%다. 현재 격리 상태에서 치료 중인 확진자는 1천454명이다.     이날 0시까지 지역별 누적 확진자 수는 대구 6천852명, 경북 1천366명, 경기 678명, 서울 634명 등이다.     성별로는 여성이 6천418명(59.57%)으로 남성 4천356명(40.43%)보다 많다. 단 치명률은 남성이 2.98%로 여성(1.84%)에 비해 높은 편이다.     연령별로는 20대가 2천957명(27.45%)으로 가장 많고 50대가 1천956명(18.15%)으로 그다음이다. 40대 1천429명(13.26%), 60대 1천348명(12.51%), 30대 1천159명(10.76%) 순이다.     지금까지 코로나19 진단검사를 받은 사람은 총 62만3천69명이다. 이 중 60만3천610명이 '음성'으로 확인됐다. 8천685명은 검사 중이다.     중앙방역대책본부는 매일 오전 10시께 그날 0시 기준으로 코로나19 일별 환자 통계를 발표하고 있다.     jandi@yna.co.kr▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]▶[팩트체크] 연합뉴스가 확인한 '팩트' 이렇습니다▶제보하기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011582898
5,2020.05.01.,한경닷컴,[종합] 코로나 확진자 9명 증가…8명은 해외 유입,"서울 중구 국립중앙의료원 선별진료소 앞이 한산한 모습을 보이고 있다. 연합뉴스국내 신종 코로나바이러스 감염증(코로나19) 확진자가 9명 늘었다. 이 가운데 8명은 해외 유입 사례다.1일 중앙방역대책본부에 따르면 이날 0시 기준 코로나19 확진자는 전날 0시보다 9명 늘어난 1만774명으로 집계됐다. 신규 확진자 9명 가운데 국내 발생 사례는 1명뿐이다. 8명은 해외에서 유입됐다.해외 유입 8명 가운데 4명은 공항 검역 과정에서 확인됐다. 나머지 4명은 지역사회로 돌아간 이후 양성 판정을 받았다. 서울 1명, 인천 1명, 경기 2명 등이다. 국내 발생 사례는 경북 1명이다. 나머지 지역에선 신규 확진자가 나오지 않았다.코로나19로 인한 사망자는 누적 248명이다. 전날 경기 명지병원에서 입원 치료중이던 확진자 1명이 사망했다. 국내 평균 치명률은 2.3%로 나타났다. 고령자일수록 가파르게 높아지는 경향이 나타났다. 연령대별 치명률은 60대 2.60%, 70대 10.58%, 80세 이상 24.28% 등이다.완치해 격리 해제된 확진자는 9072명으로 집계됐다. 전날보다 13명이 증가했다. 국내 완치율은 84.2%다. 격리 상태에서 치료중인 환자는 1454명이다.누적 확진자는 여성이 남성보다 많았다. 여성이 6418명(59.57%)으로 남성 4356명(40.43%)보다 2000명가량 많은 수준을 보였다. 연령별로는 20대가 2957명(27.45%)으로 가장 많았다. 50대 1956명(18.15%), 40대 1429명(13.26%), 60대 1348명(12.51%), 30대 1159명(10.76%) 순을 보였다.코로나19 진단검사를 받은 사람은 모두 62만3069명으로, 이 가운데 60만3610명이 음성 판정을 받았다. 8685명은 검사 중이다.한경닷컴 뉴스룸 open@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004333488
13,2020.05.01.,financial news,비자만료 외국인 39만명 코로나19 진단·치료 지원 [종합],"중대본?""법무부의?불법체류?단속도?일정기간?유예""  [파이낸셜뉴스] 정부가 비자 만료 등으로 인해 국내 체류 자격을 잃은 외국인 약 39만 명에 대해서도 신종 코로나바이러스 감염증(코로나19) 진단과 치료를 받을 수 있도록 지원한다.    김강립 중앙재난안전대책본부 1총괄조정관(보건복지부 차관)./뉴스1 김강립 중앙재난안전대책본부(중대본) 1총괄조정관은 1일 정부세종청사에서 열린 정례브리핑을 통해 ""코로나19를 안정적으로 관리하고 집단감염 발생 가능성을 조기 차단하기 위해서는 방역 사각지대에 대한 관리가 중요하다""며 이같이 밝혔다.   이에 따라 법무부에서는 불법체류 단속을 일정 기간 유예할 예정이다. 또 정부는 16개국 언어를 활용해 외국인 밀집 지역 등을 대상으로 코로나19 검사와 치료체계를 안내할 방침이다. 보건소 선별진료소에서도 비대면 통역 서비스를 지원하는 한편, 필요시에는 외국인 밀집 지역에 대한 이동형 검사도 이뤄진다.   정부는 노숙인 및 쪽방 주민에 대해서도 코로나19 진단 및 치료관리를 강화하기로 했다. 질병관리본부가 시행하는 국가 결핵 검진사업과 연계해 무자격 체류자, 노숙인, 쪽방 주민 등이 엑스레이상 소견을 보이는 경우 등 코로나19가 의심되면 검사를 받을 수 있도록 할 예정이다.  #코로나19 #방역사각지대해소   elikim@fnnews.com 김미희 기자   ▶ 헉! 소리나는 [헉스]?▶ '너 그거 아니?' [두유노우]▶ 지금 파이낸셜뉴스 채널 구독하고 경품 GET!  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004417639
14,2020.05.01.,뉴스1,"불법체류자, 코로나 무료 진단·치료…노숙자 임시시설 수용(상보)","코로나19 사각지대 의심증상자 진단검사·예방조치 강화김강립 보건복지부 1차관이 28일 오전 서울 세종대로 정부서울청사 내 중앙재난안전상황실 서울상황센터에서 열린 신종 코로나바이러스 감염증(코로나19) 대응 중앙재난대책본부회의에서 모두발언하고 있다. 2020.4.28/뉴스1 ? News1 김진환 기자(서울=뉴스1) 김태환 기자,음상준 기자,이영성 기자,이형진 기자 = 정부가 신종 코로나바이러스 감염증(코로나19) 방역 사각지대에 놓인 무자격 외국인(물법체류자), 노숙인, 쪽방촌 주민 등에 대한 방역 예방 조치를 강화한다.김강립 중앙재난안전대책본부 1총괄조정관은 5월 1일 정례브리핑에서 ""방역 사각지대인 무자격 체류자, 노숙인, 쪽방주민 등에 대해 포용적 방역대책이 필요한 시점""이라며 ""집단감염 발생 가능성을 조기에 차단하기 위해 사각지대 관리가 중요하다""고 말했다.중대본은 이날 오전 회의를 통해 체류 자격이 없는 무자격 외국인에 대해 강제출국 단속을 유예하고, 무료 진단·치료를 제공하기로 했다. 현재 법무부 추산 국내 무자격 외국인 수는 약 39만명이다.앞으로 보건소 선별진료소에서는 비대면 통역 서비스와 16개 해외 국가 언어로 된 코로나19 진료 치료 체계 안내문을 제공한다. 특히 무료 진단과 치료를 받을 수 있도록 한다. 또 무자격 외국인이 강제 출국을 우려해 코로나19 진단검사를 피하지 않도록 법무부의 단속을 일정기간 유예한다. 질병관리본부가 시행하고 있는 국가결핵검진사업과도 연계해 결핵 검진 시 코로나19 의심증상이 있는 경우 진단검사도 받도록 조치할 계획이다.각 지자체는 외국인 지원단체 등과 지역 내 무자격 외국인 집단 거주 지역 등의 위생을 점검하고, 외국인 지원 센터를 통해 코로나19 진단 치료에 대한 안내와 지원을 실시할 예정이다.노숙인과 쪽방촌 주민들은 지자체에서 마련한 임시보호시설에 입소한다. 입소 전 의심증상자를 대상으로 코로나19 검사를 실시할 계획이다. 지자체는 현장 보호활동을 통해 봄, 가을에 나오는 거리 노숙인을 관리하기로 했다.김강립 1총괄조정관은 ""정부는 방역 사각지대에 대한 폭넓고 촘촘한 관리를 통하여 코로나19 확산 위기가 다시 발생하지 않도록 관계부처와 지자체가 함께 노력하겠다""고 밝혔다.call@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 바로가기 ▶  코로나19 뉴스 ? 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004616362
27,2020.05.01.,연합뉴스,"미슈스틴 러시아 총리 코로나19 확진…""검사서 양성판정""(종합)","벨로우소프 제1부총리에 권한 위임…푸틴, 조속한 쾌유 기원 (모스크바=연합뉴스) 유철종 특파원 = 미하일 미슈스틴 러시아 총리(54)가 30일(현지시간) 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았다.         타스 통신 등에 따르면 미슈스틴 총리는 이날 현지 TV 방송으로 생중계된 블라디미르 푸틴 대통령과의 화상회의에서 코로나19 감염 사실을 밝혔다.     그는 푸틴 대통령에게 ""앞서 받았던 코로나19 검진 검사에서 양성 판정이 나왔다는 사실을 방금 통보받았다""면서 ""이와 관련 보건당국의 규정에 따라 자가격리에 들어가고 의료진의 처방을 이행해야 한다""고 보고했다.     이어 ""정부는 정상적으로 업무를 계속할 것""이라면서 정부 각료 및 대통령과는 전화와 화상으로 주요 문제를 협의하겠다고 말했다.     미슈스틴은 국민들에게는 5월 11일까지 이어지는 연휴 동안 집에 머물 것과 정부가 취한 방역 제한조치들을 준수할 것을 당부했다.    이에 푸틴 대통령은 ""당신과 내각 구성원들, 대통령 행정실 직원 등은 특별히 위험한 지대에 있는 것이 사실이다. 아무리 접촉을 제한하려 해도 어쩔 수 없이 사람들과 직접 대면하지 않을 수 없기 때문이다""라고 안타까움을 표시했다.     푸틴은 총리의 조속한 쾌유를 기원하면서 그가 자가격리 치료 기간에도 주요 정책 결정에 참여할 것이라고 밝혔다.      미슈스틴 총리는 화상회의에서 안드레이 벨로우소프 제1부총리를 총리 권한 대행 후보로 제안했고, 푸틴 대통령은 이에 동의한 뒤 뒤이어 관련 대통령령에 서명했다.    미슈스틴은 지난 1월 중순 개각에서 장수 총리 드미트리 메드베데프의 뒤를 이어 내각 수장에 전격 발탁된 뒤 정부의 코로나19 대응을 진두지휘해 왔다.    러시아의 코로나19 확진자는 최근 들어 급증세를 보이면서 이날 현재 10만6천498명까지 증가했다. 미하일 미슈스틴 러시아 총리. [타스=연합뉴스 자료사진]    cjyou@yna.co.kr▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]▶[팩트체크] 연합뉴스가 확인한 '팩트' 이렇습니다▶제보하기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=001&aid=0011582481
28,2020.05.01.,뉴시스,러시아 총리도 코로나19 감염...누적 확진자 10만 넘어,"푸틴, 벨로우소프 제1부총리 총리 대행으로 임명[모스크바=AP/뉴시스] 러시아의 새 총리로 15일(현지시간) 미하일 미슈스틴 국세청장이 임명됐다. 사진은 2019년 5월 6일 모스크바 크렘린에서 블라디미르 푸틴 대통령과의 회의에 참석한 미슈스틴의 모습. 2020.01.16[런던=뉴시스] 이지예 기자 = 러시아의 미하일 미슈스틴 총리(54)가 신종 코로나바이러스 감염증(코로나19)에 감염됐다. 타스통신, 모스크바타임스에 따르면 미슈스틴 총리는 30일(현지시간) 블라디미르 푸틴 러시아 대통령과의 화상회의에서 ""코로나바이러스 검사에서 양성이 나왔다""고 밝혔다. 러시아의 실권자인 푸틴 대통령은 지난 1월 영구 집권을 위한 개헌을 추진하면서 미슈스틴을 총리직에 앉혔다. 그는 국세청장 출신의 정치 신인이다. 최근에는 러시아의 코로나19 대응에서 주도적 역할을 해 왔다. 미슈스틴 총리는 공무 수행을 잠시 중단하고 자가 격리에 들어갔다. 푸틴 대통령은 그가 코로나19에서 회복하는 동안 안드레이 벨로우소프 제1부총리를 총리 대행으로 임명했다. 푸틴 대통령은 이날 미슈스틴 총리의 쾌차를 빌었다. 또 그에게 벌어진 일이 누구에게나 일어날 수 있다고 코로나19에 대한 주의를 당부했다. 미슈스틴 총리와 직접적 접촉을 해 온 내각 장관이나 직원들은 정기적으로 코로나19 검사를 받고 있다고 알려졌다. 이날 기준 러시아의 코로나19 누적 확진자는 10만 명을 넘어섰다. 글로벌 통계웹 월드오미터에 따르면 러시아에서는 10만6498명이 코로나19에 감염됐다. 사망자는 1073명이다.☞공감언론 뉴시스 ez@newsis.com▶ 네이버에서 뉴시스TV 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=003&aid=0009842346
29,2020.05.01.,연합뉴스,"미슈스틴 러시아 총리 코로나19 감염…""검사서 양성 판정""","(모스크바=연합뉴스) 유철종 특파원 = 미하일 미슈스틴 러시아 총리(54)가 30일(현지시간) 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았다.     타스 통신 등에 따르면 미슈스틴 총리는 이날 블라디미르 푸틴 대통령과의 화상 회의에서 코로나19 감염 사실을 밝혔다.     그는 푸틴 대통령에게 ""앞서 받았던 코로나19 검진 검사에서 양성 판정이 나왔다는 사실을 방금 통보받았다""고 보고했다.     미슈스틴은 이어 자가격리에 들어갈 것이라면서, 안드레이 벨로우소프 제1부총리에게 총리 권한 대행을 맡기겠다고 제안했다.      푸틴 대통령은 벨라우소프 제1부총리를 총리 권한 대행으로 하자는 제안을 지지했다고 현지 언론은 전했다.미하일 미슈스틴 러시아 총리. [타스=연합뉴스 자료사진]    cjyou@yna.co.kr▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]▶[팩트체크] 연합뉴스가 확인한 '팩트' 이렇습니다▶제보하기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=001&aid=0011582476
30,2020.05.01.,서울신문,"러시아 총리, 화상 회의 도중 “저 코로나 걸렸답니다”","[서울신문]미하일 미슈스틴 러시아 총리.연합뉴스미슈스틴 러시아 총리 코로나19 감염벨로우소프 제1부총리 총리 대행30일(현지시간) 미하일 미슈스틴 러시아 총리(54)가 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았다.미슈스틴 총리는 이날 블라디미르 푸틴 대통령과의 화상 회의에서 코로나19 감염 사실을 밝혔다.그는 푸틴 대통령에게 “앞서 받았던 코로나19 검진 검사에서 양성 판정이 나왔다는 사실을 방금 통보받았다”고 보고했다.미슈스틴은 자가격리에 들어갈 것이라면서, 안드레이 벨로우소프 제1부총리에게 총리 권한 대행을 맡기겠다고 제안했다.푸틴 대통령은 벨라우소프 제1부총리를 총리 권한 대행으로 하자는 제안을 지지했다고 현지 언론은 전했다.푸틴 대통령은 또 미슈스틴 총리의 쾌차를 빌었다. 그에게 벌어진 일이 누구에게나 일어날 수 있다고 코로나19에 대한 주의를 당부했다.총리와 직접적 접촉을 해 온 내각 장관이나 직원들은 정기적으로 코로나19 검사를 받고 있다고 알려졌다.한편 이날 기준 러시아의 코로나19 누적 확진자는 10만 명을 넘어섰다. 글로벌 통계웹 월드오미터에 따르면 러시아에서는 10만6498명이 코로나19에 감염됐다. 사망자는 1073명이다.김채현 기자 chkim@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭! ▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=081&aid=0003087129
46,2020.04.30.,연합뉴스,"코로나19 집단면역 조사한다…당국 ""국민영양조사 통해 확인""(종합)","환자 많았던 대구·경북 지역에선 별도 조사 검토(서울=연합뉴스) 신선미 기자 = 방역당국이 신종 코로나바이러스 감염증(코로나19)의 국내 전파 규모를 확인하기 위한 '인구면역도' 조사를 국민영양조사를 통해 진행하기로 했다. 코로나19 환자가 많이 발생한 대구·경북에서는 면역도 검사가 별도 시행될 것으로 보인다.브리핑하는 권준욱 부본부장[연합뉴스 자료 사진]    권준욱 중앙방역대책본부 부본부장은 30일 충북 오송 질병관리본부에서 열린 정례 브리핑에서 ""효과적인 방역 대책을 수립하기 위한 목적으로 코로나19 지역사회 감염 동향과 집단면역을 확인할 계획""이라고 밝혔다.    인구면역도 조사는 감염증에 걸린 뒤 면역이 생긴 인구가 얼마나 되는지를 파악하기 위해 수행한다. 코로나19의 경우 인구의 60% 이상이 감염증에 걸리면 '집단면역'이 형성된다고 알려졌다. 면역도 조사 결과는 전체 감염자 중 사망자의 비율을 파악하는 데 활용할 수도 있다.    인구면역도는 국민 중 얼마나 많은 사람에게 바이러스를 무력화하는 항체가 형성됐는지 여부로 평가한다.    권 부본부장은 ""전체 국민을 대표할 수 있는 표본을 선정하는 방법의 하나로, 국민건강영양조사에서 확보되는 혈액을 활용하겠다""는 구체적인 방안도 제시했다.    방역 당국에 따르면 국민건강영양조사가 진행 중이고, 조사에서 혈액샘플 수집도 시작된 상황이다.     국민건강영양조사 대상자는 약 1만 명이다. 조사 대상자의 동의를 받아야 확보한 혈액을 검사에 이용할 수 있는데, 이 중 70% 정도가 참여할 수 있을 것으로 보인다는 게 권 부본부장의 설명이다.    국내에서는 신천지대구교회와 관련해 대구·경북 지역에서 많은 코로나19 확진자가 발생한 만큼, 방역당국은 이 감염병 특별관리지역에서 우선 항체검사를 시행할 방침이다.    권 부본부장은 ""전문가들과 논의해, 시약을 선정하고 신속하게 진행하도록 하겠다""고 밝혔다.    그는 또 ""항체 검사 중에는 신속 진단키트보다는 연구실에서 이용하는 ELISA(효소 면역 검지법)를 고려하고 있다""고 덧붙였다.     방역당국이 추진하려는 인구면역도 조사에 대해, 앞서 전문가들은 검사 방법의 정확도를 높인 뒤 조사를 시행해야 한다는 입장을 밝힌 바 있다.    오명돈 중앙임상위원회 위원장은 29일 국립중앙의료원에서 기자회견을 열어 ""신뢰도가 높고 정확한 항체 검사법을 확립한 뒤, 인구면역도 조사를 시행하는 것이 맞다""고 말했다.    오 위원장은 ""현재 개발된 항체 검사법은 신뢰도와 정확도가 만족스럽지 않은데 이를 해결해야 한다""고 덧붙였다.신종 코로나바이러스 감염증(코로나19) (PG)[장현경 제작] 일러스트    sun@yna.co.kr▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]▶[팩트체크] 연합뉴스가 확인한 '팩트' 이렇습니다▶제보하기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011582082
47,2020.04.30.,MBC,"코로나19 '집단면역' 조사한다…당국 ""국민영양조사 통해 확인""","방역당국이 코로나19의 국내 전파 규모를 확인하기 위한 '인구면역도' 조사를 시행하기로 했습니다.권준욱 중앙방역대책본부 부본부장은 오늘 정례 브리핑에서 ""효과적인 방역 대책을 수립하기 위한 목적으로 코로나19 지역사회 감염 동향과 집단면역을 확인할 계획""이라고 밝혔습니다.'인구면역도 조사'는 감염증에 걸린 뒤 바이러스를 무력화하는 항체가 형성됐는지 여부를 따져, 면역이 생긴 인구가 얼마나 되는지를 파악하는 조사입니다.방역 당국은 국민건강영양조사에서 확보되는 혈액을 활용해 이 조사를 수행할 계획으로, 대구·경북 지역의 감염병 특별관리지역에서 우선 항체검사를 시행할 방침입니다.오현석 기자 (ohs@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ [1시 일제사격] 그날의 취재수첩Copyright(c) Since 1996, MBC&iMBC All rights reserved.",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001034836
